"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","spec_ed_students","english_language_learners","est_population_total","est_population_5_17","est_population_5_17_pct"
"2016","3600001","DOLGEVILLE CENTRAL SCHOOL DISTRICT","New York","DOLGEVILLE","Regular local school district","962","","","5205","900","0.172911"
"2016","3600002","SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT","New York","SAUQUOIT","Regular local school district","1043","143","6","6602","1088","0.164799"
"2016","3600003","EDWARDS-KNOX CENTRAL SCHOOL DISTRICT","New York","HERMON","Regular local school district","569","118","","3345","578","0.172795"
"2016","3600004","ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT","New York","SCHENECTADY","Regular local school district","2789","415","36","20336","3009","0.147964"
"2016","3600005","BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT","New York","BROADALBIN","Regular local school district","1826","196","3","10965","1765","0.160967"
"2016","3600006","CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT","New York","CHERRY VALLEY","Regular local school district","507","95","","3828","516","0.134796"
"2016","3600007","JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT","New York","JASPER","Regular local school district","491","93","","3343","810","0.242297"
"2016","3600008","SOUTH COUNTRY CENTRAL SCHOOL DISTRICT","New York","EAST PATCHOGUE","Regular local school district","4515","714","447","29836","4612","0.154578"
"2016","3600009","SARANAC CENTRAL SCHOOL DISTRICT","New York","DANNEMORA","Regular local school district","1459","232","","12882","1551","0.120401"
"2016","3600010","COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT","New York","COBLESKILL","Regular local school district","1718","181","5","13671","1885","0.137883"
"2016","3600011","WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT","New York","WAYLAND","Regular local school district","1335","167","3","9197","1457","0.158421"
"2016","3600012","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","New York","BOLIVAR","Regular local school district","788","110","","4374","749","0.171239"
"2016","3600013","ONEIDA CITY SCHOOL DISTRICT","New York","ONEIDA","Regular local school district","2139","381","12","15179","2370","0.156137"
