"year","leaid","lea_name","state_name","city_location","agency_type","enrollment"
"2016","3600001","DOLGEVILLE CENTRAL SCHOOL DISTRICT","New York","DOLGEVILLE","Regular local school district","962"
"2016","3600002","SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT","New York","SAUQUOIT","Regular local school district","1043"
"2016","3600003","EDWARDS-KNOX CENTRAL SCHOOL DISTRICT","New York","HERMON","Regular local school district","569"
"2016","3600004","ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT","New York","SCHENECTADY","Regular local school district","2789"
"2016","3600005","BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT","New York","BROADALBIN","Regular local school district","1826"
"2016","3600006","CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT","New York","CHERRY VALLEY","Regular local school district","507"
"2016","3600007","JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT","New York","JASPER","Regular local school district","491"
"2016","3600008","SOUTH COUNTRY CENTRAL SCHOOL DISTRICT","New York","EAST PATCHOGUE","Regular local school district","4515"
"2016","3600009","SARANAC CENTRAL SCHOOL DISTRICT","New York","DANNEMORA","Regular local school district","1459"
"2016","3600010","COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT","New York","COBLESKILL","Regular local school district","1718"
"2016","3600011","WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT","New York","WAYLAND","Regular local school district","1335"
"2016","3600012","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","New York","BOLIVAR","Regular local school district","788"
"2016","3600013","ONEIDA CITY SCHOOL DISTRICT","New York","ONEIDA","Regular local school district","2139"
"2016","3600014","WATERLOO CENTRAL SCHOOL DISTRICT","New York","WATERLOO","Regular local school district","1645"
"2016","3600015","ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT","New York","ALLEGANY","Regular local school district","1161"
"2016","3600016","AVERILL PARK CENTRAL SCHOOL DISTRICT","New York","AVERILL PARK","Regular local school district","2784"
"2016","3600017","GENESEE VALLEY CENTRAL SCHOOL DISTRICT","New York","BELMONT","Regular local school district","544"
"2016","3600018","CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT","New York","MAYVILLE","Regular local school district","907"
"2016","3600019","UNADILLA VALLEY CENTRAL SCHOOL DISTRICT","New York","NEW BERLIN","Regular local school district","810"
"2016","3600020","CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT","New York","CAMPBELL","Regular local school district","858"
"2016","3600021","MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT","New York","CUTCHOGUE","Regular local school district","1198"
"2016","3600023","SULLIVAN WEST CENTRAL SCHOOL DISTRICT","New York","JEFFERSONVILLE","Regular local school district","1086"
"2016","3600024","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT","New York","CATTARAUGUS","Regular local school district","939"
"2016","3600025","CHARTER SCHOOL FOR APPLIED TECHNOLOGIES","New York","BUFFALO","Charter agency","2084"
"2016","3600026","EUGENIO MARIA DE HOSTOS CHARTER SCHOOL","New York","ROCHESTER","Charter agency","619"
"2016","3600029","GENESEE COMMUNITY CHARTER SCHOOL","New York","ROCHESTER","Charter agency","217"
"2016","3600030","ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL","New York","ROOSEVELT","Charter agency","641"
"2016","3600032","BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS","New York","ALBANY","Charter agency","311"
"2016","3600033","BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS","New York","ALBANY","Charter agency","317"
"2016","3600035","KING CENTER CHARTER SCHOOL","New York","BUFFALO","Charter agency","425"
"2016","3600036","SOUTH BUFFALO CHARTER SCHOOL","New York","BUFFALO","Charter agency","914"
"2016","3600038","TAPESTRY CHARTER SCHOOL","New York","BUFFALO","Charter agency","820"
"2016","3600039","AMBER CHARTER SCHOOL","New York","NEW YORK","Charter agency","497"
"2016","3600041","BEGINNING WITH CHILDREN CHARTER SCHOOL","New York","BROOKLYN","Charter agency",""
"2016","3600042","BRONX PREPARATORY CHARTER SCHOOL","New York","BRONX","Charter agency","714"
"2016","3600044","CHILD DEVELOPMENT CENTER OF THE HAMPTONS CHARTER SCHOOL","New York","WAINSCOTT","Charter agency",""
"2016","3600045","BROOKLYN CHARTER SCHOOL (THE)","New York","BROOKLYN","Charter agency","234"
"2016","3600046","COMMUNITY PARTNERSHIP CHARTER SCHOOL","New York","BROOKLYN","Charter agency","398"
"2016","3600047","HARBOR SCIENCE AND ARTS CHARTER SCHOOL","New York","NEW YORK","Charter agency","260"
"2016","3600048","HARRIET TUBMAN CHARTER SCHOOL","New York","BRONX","Charter agency","689"
"2016","3600049","ICAHN CHARTER SCHOOL 1","New York","BRONX","Charter agency","323"
"2016","3600053","JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL","New York","NEW YORK","Charter agency","494"
"2016","3600054","KIPP ACADEMY CHARTER SCHOOL","New York","BRONX","Charter agency","1106"
"2016","3600055","MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL","New York","SPRINGFIELD GARDENS","Charter agency","554"
"2016","3600057","OUR WORLD NEIGHBORHOOD CHARTER SCHOOL","New York","ASTORIA","Charter agency","727"
"2016","3600059","RENAISSANCE CHARTER SCHOOL","New York","JACKSON HEIGHTS","Charter agency","549"
"2016","3600060","RIVERHEAD CHARTER SCHOOL","New York","CALVERTON","Charter agency","409"
"2016","3600061","SISULU-WALKER CHARTER SCHOOL OF HARLEM","New York","NEW YORK","Charter agency","225"
"2016","3600063","BRONX CHARTER SCHOOL FOR THE ARTS","New York","BRONX","Charter agency","320"
"2016","3600066","FAMILY LIFE ACADEMY CHARTER SCHOOL I","New York","BRONX","Charter agency","470"
"2016","3600067","GLOBAL CONCEPTS CHARTER SCHOOL","New York","LACKAWANNA","Charter agency","964"
"2016","3600068","HARLEM PREP CHARTER SCHOOL","New York","NEW YORK","Charter agency","838"
"2016","3600070","SOUTHSIDE ACADEMY CHARTER SCHOOL","New York","SYRACUSE","Charter agency","687"
"2016","3600071","BUFFALO UNITED CHARTER SCHOOL","New York","BUFFALO","Charter agency","660"
