,created_at,tweet_id,text,user_id,user_name
0,Fri Jun 07 14:21:00 +0000 2019,1137001517104422914,".@AndyKerrtv is joined by former #Matildas striker @Mheyman23 ahead of the Women's @FIFAWorldCup 👇

#beINWWC… https://t.co/VVLZ3hUipc",576249121,beIN SPORTS
1,Fri Jun 07 14:20:49 +0000 2019,1137001467821350912,"Quand tu reçois un SMS ce matin te disant que suite à des modifications de placement dans le stade, il vaut mieux v… https://t.co/FgRNly5jta",2854595981,Laetitia Béraud
2,Fri Jun 07 14:20:14 +0000 2019,1137001324854296576,"RT @ritaguari: Al via la #wwc2019 e domenica  l'esordio per le nostre #azzurre 🇮🇹💙 Un sogno, un'opportunità, un altro passo in avanti per i…",880920558,Esedra
3,Fri Jun 07 14:19:54 +0000 2019,1137001239009357824,"The #FifaWWC kicks off today in #Paris, #France &amp; in celebration I'm sharing this #photo, recently sold on @picfair… https://t.co/ZsnpM2SGkK",19654089,Keph Senett
4,Fri Jun 07 14:19:53 +0000 2019,1137001235360440320,"RT @LaLigaEN: 🤩 The @FIFAWWC starts TODAY! 🤩

Will @NGSuper_Falcons star @AsisatOshoala be amongst the top scorers? 🇳🇬

#LigaIberdrola #WWC…",881833633505521664,Asuzú
5,Fri Jun 07 14:19:32 +0000 2019,1137001147334631429,"RT @jaywriddle: My 2019 Women World Cup predictions. Chaos reigns supreme!#WWC2019 

https://t.co/WBptbRVyTV https://t.co/dRxLIE3E3r",988241355729260545,UNRELEGATED
6,Fri Jun 07 14:19:19 +0000 2019,1137001091093192704,"My 2019 Women World Cup predictions. Chaos reigns supreme!#WWC2019 

https://t.co/WBptbRVyTV https://t.co/dRxLIE3E3r",1132194041473523712,Artist formerly known as @jay_riddle
7,Fri Jun 07 14:18:58 +0000 2019,1137001004476620801,"RT @LaLigaEN: 🤩 The @FIFAWWC starts TODAY! 🤩

Will @NGSuper_Falcons star @AsisatOshoala be amongst the top scorers? 🇳🇬

#LigaIberdrola #WWC…",375189711,El magnifico
8,Fri Jun 07 14:18:52 +0000 2019,1137000977444278278,"RT @NatHunter_BBC: The #wwc2019 Women's World Cup starts tonight. To mark the occasion, we'll start constantly asking Scottish politicians…",2360021642,Don Forth
9,Fri Jun 07 14:18:34 +0000 2019,1137000904631173122,RT @BucksNewUni: The Women’s World Cup starts today! Our talented graduate @JamesPLCross is behind the @BBCSport promotional video featurin…,17267145,David Rickard
10,Fri Jun 07 14:25:43 +0000 2019,1137002701554835461,"RT @KickaroundMag: Today is the day! The #WWC2019 kicks off in Paris tonight – are your children's wallcharts in place?

If you don't have…",90131813,+ + + yugo
11,Fri Jun 07 14:25:35 +0000 2019,1137002668856086528,"#wwc2019 für mich erst ab morgen.

Heute: @ballverliebteu-Leser-Treffen mit gemeinsamem #AutSlo schauen.

Wird cool :-)",21023368,Philipp Eitzinger
12,Fri Jun 07 14:24:56 +0000 2019,1137002507618717696,Women’s World Cup starts TODAY😍 #WWC2019,1155215527,Sahib Sooch
